stage,date,distance,origin,destination,type,flat_cobblestone,flat,half,high_mountain,hilly,individual_time_trial,intermediate,medium_mountain,mountain,mountain_time,plain,plain_with_cobble,stage_with_mountain,team_time_trial,transition,winner,winner_country,year,country_code,stage_2
15,7/19/1937,194,Luchon,Pau,Stage with mountain,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Julian Berrendero,ESP,1937,9,15
16,7/21/1937,235,Pau,Bordeaux,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Paul Chocque,FRA,1937,11,16
20,7/25/1937,234,Caen,Paris,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Edward Vissers,BEL,1937,3,20
1,7/5/1938,215,Paris,Caen,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Willi Oberbeck,GER,1938,15,1
2,7/6/1938,237,Caen,Saint-Brieuc,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Jean Majerus,LUX,1938,22,2
3,7/7/1938,238,Saint-Brieuc,Nantes,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Gerrit Schulte,NED,1938,24,3
5,7/10/1938,198,Royan,Bordeaux,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Éloi Meulenberg,BEL,1938,3,5
7,7/12/1938,115,Bayonne,Pau,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Theo Middelkamp,NED,1938,24,7
8,7/14/1938,193,Pau,Luchon,Stage with mountain,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Félicien Vervaecke,BEL,1938,3,8
9,7/16/1938,260,Luchon,Perpignan,Stage with mountain,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Jean Fréchaut,FRA,1938,11,9
11,7/18/1938,223,Montpellier,Marseille,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Gino Bartali,ITA,1938,18,11
12,7/19/1938,199,Marseille,Cannes,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Jean Fréchaut,FRA,1938,11,12
13,7/21/1938,284,Cannes,Digne,Stage with mountain,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Dante Gianello,FRA,1938,11,13
14,7/22/1938,219,Digne,Briançon,Stage with mountain,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Gino Bartali,ITA,1938,18,14
15,7/23/1938,311,Briançon,Aix-les-Bains,Stage with mountain,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Marcel Kint,BEL,1938,3,15
16,7/25/1938,284,Aix-les-Bains,Besançon,Stage with mountain,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Marcel Kint,BEL,1938,3,16
18,7/27/1938,186,Strasbourg,Metz,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Marcel Kint,BEL,1938,3,18
19,7/28/1938,196,Metz,Reims,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Fabien Galateau,FRA,1938,11,19
21,7/31/1938,279,Lille,Paris,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Antonin Magne André Leducq[n 2],FRA,1938,11,21
1,7/10/1939,215,Paris,Caen,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Amédée Fournier,FRA,1939,11,1
3,7/12/1939,244,Rennes,Brest,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Pierre Cloarec,FRA,1939,11,3
4,7/13/1939,174,Brest,Lorient,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Raymond Louviot,FRA,1939,11,4
5,7/14/1939,207,Lorient,Nantes,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Amédée Fournier,FRA,1939,11,5
7,7/17/1939,198,Royan,Bordeaux,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Raymond Passat,FRA,1939,11,7
9,7/19/1939,311,Pau,Toulouse,Stage with mountain,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Edward Vissers,BEL,1939,3,9
11,7/22/1939,212,Montpellier,Marseille,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Fabien Galateau,FRA,1939,11,11
13,7/24/1939,101,Monaco,Monaco,Stage with mountain,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Pierre Gallien,FRA,1939,11,13
14,7/25/1939,175,Monaco,Digne,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Pierre Cloarec,FRA,1939,11,14
15,7/26/1939,219,Digne,Briançon,Stage with mountain,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Sylvère Maes,BEL,1939,3,15
1,6/25/1947,236,Paris,Lille,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Ferdinand Kübler,SUI,1947,31,1
2,6/26/1947,182,Lille,Brussels,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,René Vietto,FRA,1947,11,2
3,6/27/1947,314,Brussels,Luxembourg City,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Aldo Ronconi,ITA,1947,18,3
4,6/28/1947,223,Luxembourg City,Strasbourg,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Jean Robic,FRA,1947,11,4
5,6/29/1947,248,Strasbourg,Besançon,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Ferdinand Kübler,SUI,1947,31,5
6,7/1/1947,249,Besançon,Lyon,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Lucien Teisseire,FRA,1947,11,6
7,7/2/1947,172,Lyon,Grenoble,Stage with mountain,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Jean Robic,FRA,1947,11,7
8,7/3/1947,185,Grenoble,Briançon,Stage with mountain,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Fermo Camellini,ITA,1947,18,8
9,7/5/1947,217,Briançon,Digne,Stage with mountain,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,René Vietto,FRA,1947,11,9
10,7/6/1947,255,Digne,Nice,Stage with mountain,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Fermo Camellini,ITA,1947,18,10
11,7/8/1947,230,Nice,Marseille,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Édouard Fachleitner,FRA,1947,11,11
12,7/9/1947,165,Marseille,Montpellier,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Henri Massal,FRA,1947,11,12
13,7/10/1947,172,Montpellier,Carcassonne,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Lucien Teisseire,FRA,1947,11,13
14,7/11/1947,253,Carcassonne,Luchon,Stage with mountain,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Albert Bourlon,FRA,1947,11,14
15,7/13/1947,195,Luchon,Pau,Stage with mountain,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Jean Robic,FRA,1947,11,15
16,7/14/1947,195,Pau,Bordeaux,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Giuseppe Tacca,ITA,1947,18,16
17,7/15/1947,272,Bordeaux,Les Sables-d'Olonne,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Éloi Tassin,FRA,1947,11,17
18,7/16/1947,236,Les Sables-d'Olonne,Vannes,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Pietro Tarchini,SUI,1947,31,18
19,7/18/1947,139,Vannes,Saint-Brieuc,Individual time trial,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Raymond Impanis,BEL,1947,3,19
20,7/19/1947,235,Saint-Brieuc,Caen,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Maurice Diot,FRA,1947,11,20
21,7/20/1947,257,Caen,Paris,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Briek Schotte,BEL,1947,3,21
1,6/30/1948,237,Paris,Trouville,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Gino Bartali,ITA,1948,18,1
2,7/1/1948,259,Trouville,Dinard,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Vincenzo Rossello,ITA,1948,18,2
3,7/2/1948,251,Dinard,Nantes,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Guy Lapébie,FRA,1948,11,3
4,7/3/1948,166,Nantes,La Rochelle,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Jacques Pras,FRA,1948,11,4
5,7/4/1948,262,La Rochelle,Bordeaux,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Raoul Remy,FRA,1948,11,5
6,7/5/1948,244,Bordeaux,Biarritz,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Louison Bobet,FRA,1948,11,6
7,7/7/1948,219,Biarritz,Lourdes,Stage with mountain,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Gino Bartali,ITA,1948,18,7
8,7/8/1948,261,Lourdes,Toulouse,Stage with mountain,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Gino Bartali,ITA,1948,18,8
9,7/10/1948,246,Toulouse,Montpellier,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Raymond Impanis,BEL,1948,3,9
10,7/11/1948,248,Montpellier,Marseille,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Raymond Impanis,BEL,1948,3,10
11,7/12/1948,245,Marseille,Sanremo,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Gino Sciardis,ITA,1948,18,11
12,7/13/1948,170,Sanremo,Cannes,Stage with mountain,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Louison Bobet,FRA,1948,11,12
13,7/15/1948,274,Cannes,Briançon,Stage with mountain,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Gino Bartali,ITA,1948,18,13
14,7/16/1948,263,Briançon,Aix-les-Bains,Stage with mountain,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Gino Bartali,ITA,1948,18,14
15,7/18/1948,256,Aix-les-Bains,Lausanne,Stage with mountain,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Gino Bartali,ITA,1948,18,15
16,7/19/1948,243,Lausanne,Mulhouse,Stage with mountain,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Edward Van Dijck,BEL,1948,3,16
17,7/21/1948,120,Mulhouse,Strasbourg,Individual time trial,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Roger Lambrecht,BEL,1948,3,17
18,7/22/1948,195,Strasbourg,Metz,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Giovanni Corrieri,ITA,1948,18,18
19,7/23/1948,249,Metz,Liège,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Gino Bartali,ITA,1948,18,19
20,7/24/1948,228,Liège,Roubaix,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Bernard Gauthier,FRA,1948,11,20
21,7/25/1948,286,Roubaix,Paris,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Giovanni Corrieri,ITA,1948,18,21
1,6/30/1949,182,Paris,Reims,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Marcel Dussault,FRA,1949,11,1
2,7/1/1949,273,Reims,Brussels,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Roger Lambrecht,BEL,1949,3,2
3,7/2/1949,211,Brussels,Boulogne-sur-Mer,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Norbert Callens,BEL,1949,3,3
4,7/3/1949,185,Boulogne-sur-Mer,Rouen,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Lucien Teisseire,FRA,1949,11,4
5,7/4/1949,293,Rouen,Saint-Malo,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Ferdinand Kübler,SUI,1949,31,5
6,7/5/1949,305,Saint-Malo,Les Sables-d'Olonne,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Adolphe Deledda,FRA,1949,11,6
7,7/7/1949,92,Les Sables-d'Olonne,La Rochelle,Individual time trial,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Fausto Coppi,ITA,1949,18,7
8,7/8/1949,262,La Rochelle,Bordeaux,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Guy Lapébie,FRA,1949,11,8
9,7/9/1949,228,Bordeaux,San Sebastián,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Louis Caput,FRA,1949,11,9
10,7/10/1949,192,San Sebastián,Pau,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Fiorenzo Magni,ITA,1949,18,10
11,7/12/1949,193,Pau,Luchon,Stage with mountain,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Jean Robic,FRA,1949,11,11
12,7/13/1949,134,Luchon,Toulouse,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Rik Van Steenbergen,BEL,1949,3,12
13,7/14/1949,289,Toulouse,Nîmes,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Emile Idée,FRA,1949,11,13
14,7/15/1949,199,Nîmes,Marseille,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Jean Goldschmidt,LUX,1949,22,14
15,7/16/1949,215,Marseille,Cannes,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Désiré Keteleer,BEL,1949,3,15
16,7/18/1949,275,Cannes,Briançon,Stage with mountain,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Gino Bartali,ITA,1949,18,16
17,7/19/1949,257,Briançon,Aosta,Stage with mountain,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Fausto Coppi,ITA,1949,18,17
18,7/21/1949,265,Aosta,Lausanne,Stage with mountain,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Vincenzo Rossello,ITA,1949,18,18
19,7/22/1949,283,Lausanne,Colmar,Stage with mountain,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Raphaël Géminiani,FRA,1949,11,19
20,7/23/1949,137,Colmar,Nancy,Mountain time trial,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Fausto Coppi,ITA,1949,18,20
21,7/24/1949,340,Nancy,Paris,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Rik Van Steenbergen,BEL,1949,3,21
1,7/13/1950,307,Paris,Metz,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Jean Goldschmit,LUX,1950,22,1
2,7/14/1950,241,Metz,Liège,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Adolfo Leoni,ITA,1950,18,2
3,7/15/1950,232.5,Liège,Lille,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Alfredo Pasotti,ITA,1950,18,3
4,7/16/1950,231,Lille,Rouen,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Stan Ockers,BEL,1950,3,4
5,7/17/1950,316,Rouen,Dinard,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Giovanni Corrieri,ITA,1950,18,5
6,7/19/1950,78,Dinard,St. Brieuc,Individual time trial,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Ferdinand Kübler,SUI,1950,31,6
7,7/20/1950,248,St. Brieuc,Angers,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Nello Lauredi,FRA,1950,11,7
8,7/21/1950,181,Angers,Niort,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Fiorenzo Magni,ITA,1950,18,8
9,7/22/1950,206,Niort,Bordeaux,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Alfredo Pasotti,ITA,1950,18,9
10,7/23/1950,202,Bordeaux,Pau,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Marcel Dussault,FRA,1950,11,10
11,7/25/1950,230,Pau,St. Gaudens,Stage with mountain,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Gino Bartali,ITA,1950,18,11
12,7/26/1950,233,Saint-Gaudens,Perpignan,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Maurice Blomme,BEL,1950,3,12
13,7/27/1950,215,Perpignan,Nîmes,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Marcel Molinès,FRA,1950,11,13
14,7/28/1950,222,Nîmes,Toulon,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Custodio Dos Reis,FRA,1950,11,14
15,7/29/1950,205.5,Toulon,Menton,Stage with mountain,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Jean Diederich,LUX,1950,22,15
16,7/30/1950,96,Menton,Nice,Stage with mountain,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Ferdinand Kübler,SUI,1950,31,16
17,8/1/1950,229,Nice,Gap,Stage with mountain,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Raphaël Géminiani,FRA,1950,11,17
18,8/2/1950,165,Gap,Briançon,Stage with mountain,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Louison Bobet,FRA,1950,11,18
19,8/3/1950,291,Briançon,Saint-Étienne,Stage with mountain,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Raphaël Géminiani,FRA,1950,11,19
20,8/5/1950,98,Saint-Étienne,Lyon,Mountain time trial,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Ferdinand Kübler,SUI,1950,31,20
21,8/6/1950,233,Lyon,Dijon,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Gino Sciardis,FRA,1950,11,21
22,8/7/1950,314,Dijon,Paris,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Émile Baffert,FRA,1950,11,22
1,7/4/1951,185,Metz,Reims,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Giovanni Rossi,SUI,1951,31,1
2,7/5/1951,228,Reims,Ghent,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Jean Diederich,LUX,1951,22,2
3,7/6/1951,219,Ghent,Le Tréport,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Georges Meunier,FRA,1951,11,3
4,7/7/1951,188,Le Tréport,Paris,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Roger Lévêque,FRA,1951,11,4
5,7/8/1951,215,Paris,Caen,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Serafino Biagioni,ITA,1951,18,5
6,7/9/1951,182,Caen,Rennes,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Édouard Muller,FRA,1951,11,6
7,7/10/1951,85,La Guerche-de-Bretagne,Angers,Individual time trial,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Hugo Koblet,SUI,1951,31,7
8,7/11/1951,241,Angers,Limoges,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,André Rosseel,BEL,1951,3,8
9,7/13/1951,236,Limoges,Clermont-Ferrand,Stage with mountain,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Raphaël Géminiani,FRA,1951,11,9
10,7/14/1951,216,Clermont-Ferrand,Brive,Stage with mountain,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Bernardo Ruiz,ESP,1951,9,10
11,7/15/1951,177,Brive,Agen,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Hugo Koblet,SUI,1951,31,11
12,7/16/1951,185,Agen,Dax,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Wim van Est,NED,1951,24,12
13,7/17/1951,201,Dax,Tarbes,Stage with mountain,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Serafino Biagioni,ITA,1951,18,13
14,7/18/1951,142,Tarbes,Luchon,Stage with mountain,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Hugo Koblet,SUI,1951,31,14
15,7/19/1951,213,Luchon,Carcassonne,Stage with mountain,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,André Rosseel,BEL,1951,3,15
16,7/20/1951,192,Carcassonne,Montpellier,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Hugo Koblet,SUI,1951,31,16
17,7/22/1951,224,Montpellier,Avignon,Stage with mountain,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Louison Bobet,FRA,1951,11,17
18,7/23/1951,173,Avignon,Marseille,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Fiorenzo Magni,ITA,1951,18,18
19,7/24/1951,208,Marseille,Gap,Stage with mountain,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Armand Baeyens,BEL,1951,3,19
20,7/25/1951,165,Gap,Briançon,Stage with mountain,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Fausto Coppi,ITA,1951,18,20
21,7/26/1951,201,Briançon,Aix-les-Bains,Stage with mountain,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Bernardo Ruiz,ESP,1951,9,21
22,7/27/1951,97,Aix-les-Bains,Geneva,Individual time trial,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Hugo Koblet,SUI,1951,31,22
23,7/28/1951,197,Geneva,Dijon,Stage with mountain,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Germain Derijcke,BEL,1951,3,23
24,7/29/1951,322,Dijon,Paris,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Adolphe Deledda,FRA,1951,11,24
1,6/25/1952,246,Brest,Rennes,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Rik Van Steenbergen,BEL,1952,3,1
2,6/26/1952,181,Rennes,Le Mans,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,André Rosseel,BEL,1952,3,2
3,6/27/1952,189,Le Mans,Rouen,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Nello Lauredi,FRA,1952,11,3
4,6/28/1952,232,Rouen,Roubaix,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Pierre Molinéris,FRA,1952,11,4
5,6/29/1952,197,Roubaix,Namur,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Jean Diederich,LUX,1952,22,5
6,6/30/1952,228,Namur,Metz,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Fiorenzo Magni,ITA,1952,18,6
7,7/1/1952,60,Metz,Nancy,Individual time trial,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Fausto Coppi,ITA,1952,18,7
8,7/2/1952,252,Nancy,Mulhouse,Stage with mountain,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Raphaël Géminiani,FRA,1952,11,8
9,7/3/1952,238,Mulhouse,Lausanne,Stage with mountain,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Walter Diggelmann,SUI,1952,31,9
10,7/4/1952,266,Lausanne,Alpe d'Huez,Stage with mountain,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Fausto Coppi,ITA,1952,18,10
11,7/6/1952,182,Le Bourg-d'Oisans,Sestriere,Stage with mountain,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Fausto Coppi,ITA,1952,18,11
12,7/7/1952,251,Sestriere,Monaco,Stage with mountain,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Jan Nolten,NED,1952,24,12
13,7/8/1952,214,Monaco,Aix-en-Provence,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Raoul Rémy,FRA,1952,11,13
14,7/9/1952,178,Aix-en-Provence,Avignon,Stage with mountain,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Jean Robic,FRA,1952,11,14
15,7/10/1952,275,Avignon,Perpignan,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Georges Decaux,FRA,1952,11,15
16,7/11/1952,200,Perpignan,Toulouse,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,André Rosseel,BEL,1952,3,16
17,7/13/1952,204,Toulouse,Bagnères-de-Bigorre,Stage with mountain,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Raphaël Géminiani,FRA,1952,11,17
18,7/14/1952,149,Bagnères-de-Bigorre,Pau,Stage with mountain,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Fausto Coppi,ITA,1952,18,18
19,7/15/1952,195,Pau,Bordeaux,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Hans Dekkers,NED,1952,24,19
20,7/16/1952,228,Bordeaux,Limoges,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Jacques Vivier,FRA,1952,11,20
21,7/17/1952,245,Limoges,Puy de Dôme,Stage with mountain,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Fausto Coppi,ITA,1952,18,21
22,7/18/1952,63,Clermont-Ferrand,Vichy,Individual time trial,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Fiorenzo Magni,ITA,1952,18,22
23,7/19/1952,354,Vichy,Paris,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Antonin Rolland,FRA,1952,11,23
1,7/3/1953,195,Strasbourg,Metz,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Fritz Schär,SUI,1953,31,1
2,7/4/1953,227,Metz,Liège,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Fritz Schär,SUI,1953,31,2
3,7/5/1953,221,Liège,Lille,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Stanislas Bober,FRA,1953,11,3
4,7/6/1953,188,Lille,Dieppe,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Gerrit Voorting,NED,1953,24,4
5,7/7/1953,200,Dieppe,Caen,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Jean Malléjac,FRA,1953,11,5
6,7/8/1953,206,Caen,Le Mans,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Martin Van Geneugden,BEL,1953,3,6
7,7/9/1953,181,Le Mans,Nantes,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Livio Isotti,ITA,1953,18,7
8,7/10/1953,345,Nantes,Bordeaux,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Jan Nolten,NED,1953,24,8
9,7/12/1953,197,Bordeaux,Pau,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Fiorenzo Magni,ITA,1953,18,9
10,7/13/1953,103,Pau,Cauterets,Stage with mountain,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Jesús Loroño,ESP,1953,9,10
11,7/14/1953,115,Cauterets,Luchon,Stage with mountain,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Jean Robic,FRA,1953,11,11
12,7/15/1953,228,Luchon,Albi,Plain stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,André Darrigade,FRA,1953,11,12
13,7/16/1953,189,Albi,Béziers,Stage with mountain,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Nello Lauredi,FRA,1953,11,13
14,7/17/1953,214,Béziers,Nîmes,Stage with mountain,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Bernard Quennehen,FRA,1953,11,14
